order_id,customer_id,amount,order_date
1,1,149.99,2024-02-10
2,1,2345.00,2024-05-22
3,1,57.50,2024-09-14
4,1,899.75,2025-01-30
5,2,430.00,2024-03-08
6,2,1250.50,2024-07-19
7,2,75.25,2024-11-03
8,2,3100.00,2025-03-22
9,3,210.80,2024-04-15
10,3,4500.00,2024-08-27
11,3,325.60,2025-01-05
12,3,88.99,2025-06-18
13,4,675.00,2024-05-30
14,4,120.45,2024-12-14
15,5,890.20,2024-06-22
16,5,44.99,2025-02-11
17,6,1500.00,2024-08-03
18,6,260.75,2025-04-07
19,7,35.50,2024-09-28
20,7,720.00,2025-01-15
21,8,3450.99,2024-10-05
22,8,195.00,2025-03-18
23,9,560.25,2024-11-17
24,9,4999.99,2025-07-02
25,10,85.00,2024-12-01
26,10,1875.50,2025-05-20
27,11,310.80,2024-12-20
28,11,770.00,2025-08-14
29,12,2200.00,2025-01-25
30,12,49.95,2025-10-03
31,13,950.00,2025-02-14
32,13,125.60,2025-09-27
33,14,415.75,2025-03-20
34,14,3875.00,2025-11-08
35,15,695.50,2025-04-10
36,15,180.25,2025-12-01
37,16,2750.00,2024-02-28
38,16,88.50,2024-10-17
39,17,540.00,2024-03-25
40,17,1100.75,2025-01-12
41,18,320.99,2024-04-20
42,18,4200.00,2025-06-30
43,19,67.50,2024-05-10
44,20,845.00,2024-07-14
45,21,1995.50,2024-08-22
46,22,280.00,2024-10-09
47,23,475.25,2024-11-30
48,24,1375.00,2025-01-08
49,25,93.75,2025-03-05
50,26,650.00,2025-04-15
